n,days,seed_inst,coverage_ratio,seed_sa,phys_id,part_time,is_exempt,hours,n_shifts,n_guardias,n_weekend,n_holiday
8,14,1,1.1,23,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,23,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,23,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,23,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,23,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,24,1,1.0,False,83.0,9,2,0,0
8,14,1,1.1,24,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,24,3,1.0,False,83.0,8,2,1,0
8,14,1,1.1,24,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,24,5,1.0,False,86.0,8,3,0,0
8,14,1,1.1,24,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,24,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,24,8,1.0,False,83.0,9,2,0,0
8,14,1,1.1,25,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,25,2,1.0,False,83.0,8,2,1,0
8,14,1,1.1,25,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,25,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,25,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,25,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,25,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,25,8,1.0,False,83.0,9,2,0,0
8,14,1,1.1,26,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,26,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,26,3,1.0,False,83.0,8,2,1,0
8,14,1,1.1,26,4,1.0,False,83.0,8,2,1,0
8,14,1,1.1,26,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,26,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,26,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,26,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,27,1,1.0,False,83.0,9,2,0,0
8,14,1,1.1,27,2,1.0,False,83.0,8,2,1,0
8,14,1,1.1,27,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,27,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,27,5,1.0,False,86.0,8,3,0,0
8,14,1,1.1,27,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,27,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,27,8,1.0,False,83.0,9,2,0,0
8,14,1,1.1,28,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,28,2,1.0,False,83.0,8,2,1,0
8,14,1,1.1,28,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,28,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,28,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,28,6,1.0,False,83.0,8,2,1,0
8,14,1,1.1,28,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,28,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,29,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,29,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,29,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,29,4,1.0,False,83.0,8,2,1,0
8,14,1,1.1,29,5,1.0,False,86.0,8,3,0,0
8,14,1,1.1,29,6,1.0,False,83.0,8,2,1,0
8,14,1,1.1,29,7,1.0,False,83.0,9,2,0,0
8,14,1,1.1,29,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,0,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,0,2,1.0,False,93.0,8,3,1,0
8,14,2,1.1,0,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,0,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,0,5,1.0,False,90.0,10,2,0,0
8,14,2,1.1,0,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,0,7,1.0,False,86.0,8,3,0,0
8,14,2,1.1,0,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,1,1,1.0,False,86.0,8,3,0,0
8,14,2,1.1,1,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,1,3,1.0,False,90.0,10,2,0,0
8,14,2,1.1,1,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,1,5,1.0,False,93.0,8,3,1,0
8,14,2,1.1,1,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,1,7,1.0,False,86.0,7,3,1,0
8,14,2,1.1,1,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,2,1,1.0,False,86.0,8,3,0,0
8,14,2,1.1,2,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,2,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,2,4,1.0,False,90.0,10,2,0,0
8,14,2,1.1,2,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,2,6,1.0,False,93.0,9,3,0,0
8,14,2,1.1,2,7,1.0,False,86.0,8,3,0,0
8,14,2,1.1,2,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,3,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,3,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,3,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,3,4,1.0,False,93.0,8,3,1,0
8,14,2,1.1,3,5,1.0,False,90.0,10,2,0,0
8,14,2,1.1,3,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,3,7,1.0,False,86.0,8,3,0,0
8,14,2,1.1,3,8,1.0,False,93.0,9,3,0,0
8,14,2,1.1,4,1,1.0,False,86.0,8,3,0,0
8,14,2,1.1,4,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,4,3,1.0,False,90.0,10,2,0,0
8,14,2,1.1,4,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,4,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,4,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,4,7,1.0,False,86.0,8,3,0,0
8,14,2,1.1,4,8,1.0,False,93.0,8,3,1,0
8,14,2,1.1,5,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,5,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,5,3,1.0,False,89.0,7,4,0,0
8,14,2,1.1,5,4,1.0,False,86.0,7,3,1,0
8,14,2,1.1,5,5,1.0,False,90.0,10,2,0,0
8,14,2,1.1,5,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,5,7,1.0,False,90.0,10,2,0,0
8,14,2,1.1,5,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,6,1,1.0,False,93.0,8,3,1,0
8,14,2,1.1,6,2,1.0,False,86.0,8,3,0,0
8,14,2,1.1,6,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,6,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,6,5,1.0,False,86.0,8,3,0,0
8,14,2,1.1,6,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,6,7,1.0,False,86.0,7,3,1,0
8,14,2,1.1,6,8,1.0,False,90.0,10,2,0,0
8,14,2,1.1,7,1,1.0,False,89.0,6,4,1,0
8,14,2,1.1,7,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,7,3,1.0,False,89.0,7,4,0,0
8,14,2,1.1,7,4,1.0,False,90.0,10,2,0,0
8,14,2,1.1,7,5,1.0,False,90.0,9,2,1,0
8,14,2,1.1,7,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,7,7,1.0,False,90.0,10,2,0,0
8,14,2,1.1,7,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,8,1,1.0,False,86.0,8,3,0,0
8,14,2,1.1,8,2,1.0,False,93.0,9,3,0,0
8,14,2,1.1,8,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,8,4,1.0,False,86.0,7,3,1,0
8,14,2,1.1,8,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,8,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,8,7,1.0,False,90.0,10,2,0,0
8,14,2,1.1,8,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,9,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,9,2,1.0,False,90.0,9,2,1,0
8,14,2,1.1,9,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,9,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,9,5,1.0,False,86.0,8,3,0,0
8,14,2,1.1,9,6,1.0,False,93.0,9,3,0,0
8,14,2,1.1,9,7,1.0,False,86.0,7,3,1,0
8,14,2,1.1,9,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,10,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,10,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,10,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,10,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,10,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,10,6,1.0,False,90.0,10,2,0,0
8,14,2,1.1,10,7,1.0,False,93.0,9,3,0,0
8,14,2,1.1,10,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,11,1,1.0,False,86.0,8,3,0,0
8,14,2,1.1,11,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,11,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,11,4,1.0,False,93.0,8,3,1,0
8,14,2,1.1,11,5,1.0,False,90.0,9,2,1,0
8,14,2,1.1,11,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,11,7,1.0,False,86.0,7,3,1,0
8,14,2,1.1,11,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,12,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,12,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,12,3,1.0,False,93.0,9,3,0,0
8,14,2,1.1,12,4,1.0,False,86.0,7,3,1,0
8,14,2,1.1,12,5,1.0,False,90.0,10,2,0,0
8,14,2,1.1,12,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,12,7,1.0,False,93.0,9,3,0,0
8,14,2,1.1,12,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,13,1,1.0,False,86.0,8,3,0,0
8,14,2,1.1,13,2,1.0,False,93.0,8,3,1,0
8,14,2,1.1,13,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,13,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,13,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,13,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,13,7,1.0,False,90.0,10,2,0,0
8,14,2,1.1,13,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,14,1,1.0,False,93.0,8,3,1,0
8,14,2,1.1,14,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,14,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,14,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,14,5,1.0,False,86.0,8,3,0,0
8,14,2,1.1,14,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,14,7,1.0,False,90.0,10,2,0,0
8,14,2,1.1,14,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,15,1,1.0,False,86.0,8,3,0,0
8,14,2,1.1,15,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,15,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,15,4,1.0,False,86.0,7,3,1,0
8,14,2,1.1,15,5,1.0,False,90.0,10,2,0,0
8,14,2,1.1,15,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,15,7,1.0,False,93.0,9,3,0,0
8,14,2,1.1,15,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,16,1,1.0,False,90.0,9,2,1,0
8,14,2,1.1,16,2,1.0,False,89.0,6,4,1,0
8,14,2,1.1,16,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,16,4,1.0,False,90.0,10,2,0,0
8,14,2,1.1,16,5,1.0,False,86.0,8,3,0,0
8,14,2,1.1,16,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,16,7,1.0,False,86.0,7,3,1,0
8,14,2,1.1,16,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,17,1,1.0,False,90.0,10,2,0,0
8,14,2,1.1,17,2,1.0,False,86.0,8,3,0,0
8,14,2,1.1,17,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,17,4,1.0,False,86.0,7,3,1,0
8,14,2,1.1,17,5,1.0,False,86.0,8,3,0,0
8,14,2,1.1,17,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,17,7,1.0,False,86.0,7,3,1,0
8,14,2,1.1,17,8,1.0,False,93.0,9,3,0,0
8,14,2,1.1,18,1,1.0,False,86.0,8,3,0,0
8,14,2,1.1,18,2,1.0,False,86.0,8,3,0,0
8,14,2,1.1,18,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,18,4,1.0,False,93.0,9,3,0,0
8,14,2,1.1,18,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,18,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,18,7,1.0,False,90.0,9,2,1,0
8,14,2,1.1,18,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,19,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,19,2,1.0,False,86.0,8,3,0,0
8,14,2,1.1,19,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,19,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,19,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,19,6,1.0,False,90.0,10,2,0,0
8,14,2,1.1,19,7,1.0,False,93.0,8,3,1,0
8,14,2,1.1,19,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,20,1,1.0,False,86.0,8,3,0,0
8,14,2,1.1,20,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,20,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,20,4,1.0,False,86.0,7,3,1,0
8,14,2,1.1,20,5,1.0,False,86.0,8,3,0,0
8,14,2,1.1,20,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,20,7,1.0,False,93.0,8,3,1,0
8,14,2,1.1,20,8,1.0,False,90.0,10,2,0,0
8,14,2,1.1,21,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,21,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,21,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,21,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,21,5,1.0,False,90.0,9,2,1,0
8,14,2,1.1,21,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,21,7,1.0,False,93.0,9,3,0,0
8,14,2,1.1,21,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,22,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,22,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,22,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,22,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,22,5,1.0,False,90.0,10,2,0,0
8,14,2,1.1,22,6,1.0,False,93.0,9,3,0,0
8,14,2,1.1,22,7,1.0,False,86.0,8,3,0,0
8,14,2,1.1,22,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,23,1,1.0,False,90.0,10,2,0,0
8,14,2,1.1,23,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,23,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,23,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,23,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,23,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,23,7,1.0,False,93.0,9,3,0,0
8,14,2,1.1,23,8,1.0,False,86.0,7,3,1,0
8,14,2,1.1,24,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,24,2,1.0,False,86.0,8,3,0,0
8,14,2,1.1,24,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,24,4,1.0,False,86.0,7,3,1,0
8,14,2,1.1,24,5,1.0,False,93.0,9,3,0,0
8,14,2,1.1,24,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,24,7,1.0,False,86.0,8,3,0,0
8,14,2,1.1,24,8,1.0,False,90.0,9,2,1,0
8,14,2,1.1,25,1,1.0,False,90.0,9,2,1,0
8,14,2,1.1,25,2,1.0,False,93.0,9,3,0,0
8,14,2,1.1,25,3,1.0,False,86.0,7,3,1,0
8,14,2,1.1,25,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,25,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,25,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,25,7,1.0,False,86.0,7,3,1,0
8,14,2,1.1,25,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,26,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,26,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,26,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,26,4,1.0,False,86.0,7,3,1,0
8,14,2,1.1,26,5,1.0,False,86.0,8,3,0,0
8,14,2,1.1,26,6,1.0,False,86.0,8,3,0,0
8,14,2,1.1,26,7,1.0,False,90.0,9,2,1,0
8,14,2,1.1,26,8,1.0,False,93.0,9,3,0,0
8,14,2,1.1,27,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,27,2,1.0,False,93.0,8,3,1,0
8,14,2,1.1,27,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,27,4,1.0,False,86.0,8,3,0,0
8,14,2,1.1,27,5,1.0,False,90.0,9,2,1,0
8,14,2,1.1,27,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,27,7,1.0,False,86.0,8,3,0,0
8,14,2,1.1,27,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,28,1,1.0,False,90.0,10,2,0,0
8,14,2,1.1,28,2,1.0,False,93.0,8,3,1,0
8,14,2,1.1,28,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,28,4,1.0,False,86.0,7,3,1,0
8,14,2,1.1,28,5,1.0,False,86.0,7,3,1,0
8,14,2,1.1,28,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,28,7,1.0,False,86.0,8,3,0,0
8,14,2,1.1,28,8,1.0,False,86.0,8,3,0,0
8,14,2,1.1,29,1,1.0,False,86.0,7,3,1,0
8,14,2,1.1,29,2,1.0,False,86.0,7,3,1,0
8,14,2,1.1,29,3,1.0,False,86.0,8,3,0,0
8,14,2,1.1,29,4,1.0,False,93.0,8,3,1,0
8,14,2,1.1,29,5,1.0,False,86.0,8,3,0,0
8,14,2,1.1,29,6,1.0,False,86.0,7,3,1,0
8,14,2,1.1,29,7,1.0,False,86.0,8,3,0,0
8,14,2,1.1,29,8,1.0,False,90.0,10,2,0,0
8,14,3,1.1,0,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,0,2,1.0,False,86.0,7,3,1,0
8,14,3,1.1,0,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,0,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,0,5,1.0,False,93.0,8,3,1,0
8,14,3,1.1,0,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,0,7,1.0,False,93.0,9,3,0,0
8,14,3,1.1,0,8,1.0,False,86.0,8,3,0,0
8,14,3,1.1,1,1,1.0,False,90.0,9,2,1,0
8,14,3,1.1,1,2,1.0,False,93.0,9,3,0,0
8,14,3,1.1,1,3,1.0,False,89.0,6,4,1,0
8,14,3,1.1,1,4,1.0,False,89.0,7,4,0,0
8,14,3,1.1,1,5,1.0,False,86.0,7,3,1,0
8,14,3,1.1,1,6,1.0,False,90.0,10,2,0,0
8,14,3,1.1,1,7,1.0,False,90.0,9,2,1,0
8,14,3,1.1,1,8,1.0,False,89.0,7,4,0,0
8,14,3,1.1,2,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,2,2,1.0,False,86.0,7,3,1,0
8,14,3,1.1,2,3,1.0,False,93.0,9,3,0,0
8,14,3,1.1,2,4,1.0,False,86.0,8,3,0,0
8,14,3,1.1,2,5,1.0,False,93.0,8,3,1,0
8,14,3,1.1,2,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,2,7,1.0,False,86.0,7,3,1,0
8,14,3,1.1,2,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,3,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,3,2,1.0,False,86.0,7,3,1,0
8,14,3,1.1,3,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,3,4,1.0,False,86.0,8,3,0,0
8,14,3,1.1,3,5,1.0,False,93.0,8,3,1,0
8,14,3,1.1,3,6,1.0,False,86.0,8,3,0,0
8,14,3,1.1,3,7,1.0,False,93.0,9,3,0,0
8,14,3,1.1,3,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,4,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,4,2,1.0,False,93.0,9,3,0,0
8,14,3,1.1,4,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,4,4,1.0,False,86.0,8,3,0,0
8,14,3,1.1,4,5,1.0,False,93.0,8,3,1,0
8,14,3,1.1,4,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,4,7,1.0,False,93.0,8,3,1,0
8,14,3,1.1,4,8,1.0,False,86.0,8,3,0,0
8,14,3,1.1,5,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,5,2,1.0,False,86.0,7,3,1,0
8,14,3,1.1,5,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,5,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,5,5,1.0,False,93.0,9,3,0,0
8,14,3,1.1,5,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,5,7,1.0,False,86.0,7,3,1,0
8,14,3,1.1,5,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,6,1,1.0,False,86.0,7,3,1,0
8,14,3,1.1,6,2,1.0,False,93.0,8,3,1,0
8,14,3,1.1,6,3,1.0,False,86.0,7,3,1,0
8,14,3,1.1,6,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,6,5,1.0,False,93.0,9,3,0,0
8,14,3,1.1,6,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,6,7,1.0,False,93.0,8,3,1,0
8,14,3,1.1,6,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,7,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,7,2,1.0,False,86.0,7,3,1,0
8,14,3,1.1,7,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,7,4,1.0,False,86.0,8,3,0,0
8,14,3,1.1,7,5,1.0,False,93.0,8,3,1,0
8,14,3,1.1,7,6,1.0,False,86.0,8,3,0,0
8,14,3,1.1,7,7,1.0,False,93.0,9,3,0,0
8,14,3,1.1,7,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,8,1,1.0,False,93.0,9,3,0,0
8,14,3,1.1,8,2,1.0,False,86.0,7,3,1,0
8,14,3,1.1,8,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,8,4,1.0,False,86.0,8,3,0,0
8,14,3,1.1,8,5,1.0,False,93.0,8,3,1,0
8,14,3,1.1,8,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,8,7,1.0,False,93.0,8,3,1,0
8,14,3,1.1,8,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,9,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,9,2,1.0,False,93.0,8,3,1,0
8,14,3,1.1,9,3,1.0,False,93.0,9,3,0,0
8,14,3,1.1,9,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,9,5,1.0,False,93.0,8,3,1,0
8,14,3,1.1,9,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,9,7,1.0,False,86.0,7,3,1,0
8,14,3,1.1,9,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,10,1,1.0,False,86.0,7,3,1,0
8,14,3,1.1,10,2,1.0,False,86.0,8,3,0,0
8,14,3,1.1,10,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,10,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,10,5,1.0,False,93.0,8,3,1,0
8,14,3,1.1,10,6,1.0,False,86.0,8,3,0,0
8,14,3,1.1,10,7,1.0,False,93.0,8,3,1,0
8,14,3,1.1,10,8,1.0,False,86.0,8,3,0,0
8,14,3,1.1,11,1,1.0,False,86.0,7,3,1,0
8,14,3,1.1,11,2,1.0,False,86.0,7,3,1,0
8,14,3,1.1,11,3,1.0,False,93.0,9,3,0,0
8,14,3,1.1,11,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,11,5,1.0,False,86.0,7,3,1,0
8,14,3,1.1,11,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,11,7,1.0,False,93.0,8,3,1,0
8,14,3,1.1,11,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,12,1,1.0,False,93.0,9,3,0,0
8,14,3,1.1,12,2,1.0,False,93.0,8,3,1,0
8,14,3,1.1,12,3,1.0,False,86.0,7,3,1,0
8,14,3,1.1,12,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,12,5,1.0,False,86.0,7,3,1,0
8,14,3,1.1,12,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,12,7,1.0,False,93.0,8,3,1,0
8,14,3,1.1,12,8,1.0,False,86.0,8,3,0,0
8,14,3,1.1,13,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,13,2,1.0,False,93.0,8,3,1,0
8,14,3,1.1,13,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,13,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,13,5,1.0,False,93.0,8,3,1,0
8,14,3,1.1,13,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,13,7,1.0,False,93.0,9,3,0,0
8,14,3,1.1,13,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,14,1,1.0,False,90.0,9,2,1,0
8,14,3,1.1,14,2,1.0,False,89.0,6,4,1,0
8,14,3,1.1,14,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,14,4,1.0,False,90.0,10,2,0,0
8,14,3,1.1,14,5,1.0,False,90.0,10,2,0,0
8,14,3,1.1,14,6,1.0,False,89.0,7,4,0,0
8,14,3,1.1,14,7,1.0,False,89.0,6,4,1,0
8,14,3,1.1,14,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,15,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,15,2,1.0,False,93.0,8,3,1,0
8,14,3,1.1,15,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,15,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,15,5,1.0,False,86.0,7,3,1,0
8,14,3,1.1,15,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,15,7,1.0,False,86.0,8,3,0,0
8,14,3,1.1,15,8,1.0,False,86.0,8,3,0,0
8,14,3,1.1,16,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,16,2,1.0,False,86.0,8,3,0,0
8,14,3,1.1,16,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,16,4,1.0,False,86.0,8,3,0,0
8,14,3,1.1,16,5,1.0,False,86.0,7,3,1,0
8,14,3,1.1,16,6,1.0,False,93.0,9,3,0,0
8,14,3,1.1,16,7,1.0,False,93.0,8,3,1,0
8,14,3,1.1,16,8,1.0,False,93.0,9,3,0,0
8,14,3,1.1,17,1,1.0,False,93.0,8,3,1,0
8,14,3,1.1,17,2,1.0,False,93.0,8,3,1,0
8,14,3,1.1,17,3,1.0,False,93.0,8,3,1,0
8,14,3,1.1,17,4,1.0,False,93.0,9,3,0,0
8,14,3,1.1,17,5,1.0,False,93.0,9,3,0,0
8,14,3,1.1,17,6,1.0,False,86.0,8,3,0,0
